Date,Day,1 mo,2 mo,3 mo,6 mo,12 mo,Cpd SORA 3mo
2-Jan,Mon,,,,,,
3-Jan,Tue,,,,,,0.030166
4-Jan,Wed,,,,,,0.030049
5-Jan,Thu,,,,,,0.030008
6-Jan,Fri,,,,,,0.02998
9-Jan,Mon,,,,,,0.030019
10-Jan,Tue,,,,,,0.030074
11-Jan,Wed,,,,,,0.030057
12-Jan,Thu,,,,,,0.030115
13-Jan,Fri,,,,,,0.030298
16-Jan,Mon,,,,,,0.030328
17-Jan,Tue,,,,,,0.030385
18-Jan,Wed,,,,,,0.030442
19-Jan,Thu,,,,,,0.030549
20-Jan,Fri,,,,,,0.030772
23-Jan,Mon,,,,,,0.030772
24-Jan,Tue,,,,,,0.030772
25-Jan,Wed,,,,,,0.030853
26-Jan,Thu,,,,,,0.030925
27-Jan,Fri,,,,,,0.031199
30-Jan,Mon,,,,,,0.031307
31-Jan,Tue,,,,,,0.031419
1-Feb,Wed,,,,,,0.031525
2-Feb,Thu,,,,,,0.031625
3-Feb,Fri,,,,,,0.031869
6-Feb,Mon,,,,,,0.031916
7-Feb,Tue,,,,,,0.03194
8-Feb,Wed,,,,,,0.031953
9-Feb,Thu,,,,,,0.031989
10-Feb,Fri,,,,,,0.03209
13-Feb,Mon,,,,,,0.032084
14-Feb,Tue,,,,,,0.032103
15-Feb,Wed,,,,,,0.032148
16-Feb,Thu,,,,,,0.032214
17-Feb,Fri,,,,,,0.032321
20-Feb,Mon,,,,,,0.032314
21-Feb,Tue,,,,,,0.032277
22-Feb,Wed,,,,,,0.032251
23-Feb,Thu,,,,,,0.032266
24-Feb,Fri,,,,,,0.032347
27-Feb,Mon,0.0437,0.0458,0.0474,0.0502,0.051,0.032352
28-Feb,Tue,0.0442,0.0461,0.0476,0.0505,0.0511,0.032206
1-Mar,Wed,0.0441,0.046,0.0474,0.0504,0.051,0.032164
2-Mar,Thu,0.0441,0.0461,0.0476,0.0505,0.0516,0.032116
3-Mar,Fri,0.0445,0.0464,0.0478,0.0508,0.0515,0.032035
6-Mar,Mon,0.0446,0.046,0.0474,0.0503,0.051,0.032055
7-Mar,Tue,0.0447,0.046,0.0474,0.0503,0.0513,0.032053
8-Mar,Wed,0.0448,0.0462,0.0476,0.0505,0.0529,0.03209
9-Mar,Thu,0.0453,0.0468,0.0484,0.0515,0.0533,0.032143
10-Mar,Fri,0.046,0.0475,0.0491,0.0522,0.0513,0.032415
13-Mar,Mon,0.0461,0.0476,0.0492,0.0522,0.048,0.032602
14-Mar,Tue,0.0458,0.047,0.0483,0.0505,0.0406,0.03281
15-Mar,Wed,0.0458,0.047,0.0483,0.0505,0.0406,0.032921
16-Mar,Thu,0.0446,0.0452,0.0459,0.046,0.0449,0.033084
17-Mar,Fri,0.0449,0.0453,0.0453,0.0453,0.0411,0.033668
20-Mar,Mon,0.0456,0.0463,0.045,0.043,0.0373,0.033901
21-Mar,Tue,0.0455,0.046,0.0447,0.0426,0.0391,0.034162
22-Mar,Wed,0.0456,0.0461,0.0447,0.0422,0.0412,0.034394
23-Mar,Thu,0.0462,0.0465,0.0453,0.044,0.0405,0.0345
24-Mar,Fri,0.0456,0.0464,0.0452,0.044,0.0386,0.034664
27-Mar,Mon,0.0458,0.0463,0.045,0.0431,0.0383,0.034852
28-Mar,Tue,0.0456,0.0459,0.0443,0.0418,0.0402,0.035044
29-Mar,Wed,0.0458,0.0464,0.0451,0.0436,0.0408,0.035296
30-Mar,Thu,0.0458,0.0464,0.0452,0.0438,0.0409,0.03542
31-Mar,Fri,0.0457,0.0464,0.0451,0.0439,0.0412,0.035775
3-Apr,Mon,0.0455,0.0463,0.0451,0.044,0.0413,0.035907
4-Apr,Tue,0.0456,0.0464,0.0452,0.0442,0.0408,0.036042
5-Apr,Wed,0.0458,0.0465,0.0454,0.0444,0.0396,0.036135
6-Apr,Thu,0.0458,0.0464,0.0452,0.0437,0.0391,0.036156
7-Apr,Fri,0.0458,0.0464,0.0452,0.0437,0.0391,0.036156
10-Apr,Mon,0.0458,0.0464,0.045,0.0434,0.0408,0.036127
11-Apr,Tue,0.0461,0.0468,0.0456,0.0444,0.0411,0.036123
12-Apr,Wed,0.0463,0.047,0.0458,0.0447,0.0424,0.036106
13-Apr,Thu,0.0463,0.0471,0.0459,0.0449,0.0419,0.036047
14-Apr,Fri,0.0464,0.0471,0.0459,0.0446,0.042,0.035928
17-Apr,Mon,0.0464,0.0471,0.0458,0.0444,0.0432,0.035898
18-Apr,Tue,0.0467,0.0474,0.0463,0.0452,0.0436,0.035851
19-Apr,Wed,0.0471,0.0478,0.0467,0.0459,0.0438,0.035816
20-Apr,Thu,0.0472,0.0479,0.0468,0.046,0.0442,0.035802
21-Apr,Fri,0.0473,0.0481,0.0469,0.0462,0.0435,
24-Apr,Mon,,,,,,0
25-Apr,Tue,,,,,,0
26-Apr,Wed,,,,,,0
27-Apr,Thu,,,,,,0
28-Apr,Fri,,,,,,0
